0 ( 0.786821 , 0.25048 )
728 ( 0.278645 , 0.292848 )
729 ( 0.717962 , 0.112569 )
730 ( 0.0104646 , 0.217494 )
731 ( 0.144518 , 0.470164 )
732 ( 0.395132 , 0.977041 )
733 ( 0.166028 , 0.866522 )
734 ( 0.455076 , 0.783322 )
735 ( 0.697909 , 0.43811 )
736 ( 0.255203 , 0.770007 )
737 ( 0.442738 , 0.541942 )
738 ( 0.145881 , 0.329357 )
739 ( 0.654476 , 0.149755 )
740 ( 0.386323 , 0.44786 )
741 ( 0.010241 , 0.588899 )
742 ( 0.874089 , 0.959454 )
743 ( 0.701704 , 0.70807 )
744 ( 0.347939 , 0.8718 )
745 ( 0.272486 , 0.345812 )
746 ( 0.719163 , 0.648023 )
747 ( 0.699095 , 0.787303 )
748 ( 0.903098 , 0.819389 )
749 ( 0.369725 , 0.700419 )
750 ( 0.580074 , 0.480213 )
751 ( 0.439543 , 0.0247363 )
752 ( 0.312459 , 0.576727 )
753 ( 0.359582 , 0.56213 )
754 ( 0.873817 , 0.0404787 )
755 ( 0.305375 , 0.436506 )
756 ( 0.393126 , 0.289592 )
757 ( 0.638262 , 0.108237 )
758 ( 0.261488 , 0.754766 )
759 ( 0.0112226 , 0.503583 )
760 ( 0.895796 , 0.0557847 )
761 ( 0.662753 , 0.166302 )
762 ( 0.213756 , 0.425196 )
763 ( 0.238282 , 0.0261654 )
764 ( 0.0476506 , 0.071889 )
765 ( 0.773658 , 0.630584 )
766 ( 0.415548 , 0.457104 )
767 ( 0.324202 , 0.186213 )
768 ( 0.745911 , 0.699575 )
769 ( 0.843219 , 0.798649 )
770 ( 0.653715 , 0.00831437 )
771 ( 0.50319 , 0.49831 )
772 ( 0.321615 , 0.0925487 )
773 ( 0.507636 , 0.668456 )
774 ( 0.612983 , 0.806586 )
775 ( 0.723682 , 0.884703 )
776 ( 0.216633 , 0.93154 )
777 ( 0.561939 , 0.867387 )
778 ( 0.308203 , 0.825947 )
779 ( 0.635688 , 0.238762 )
780 ( 0.242857 , 0.784611 )
781 ( 0.858872 , 0.20172 )
782 ( 0.292762 , 0.757023 )
783 ( 0.792476 , 0.654751 )
784 ( 0.877159 , 0.396739 )
785 ( 0.139656 , 0.689769 )
786 ( 0.0742632 , 0.178224 )
787 ( 0.838769 , 0.0840191 )
788 ( 0.812085 , 0.246282 )
789 ( 0.755147 , 0.382036 )
790 ( 0.252738 , 0.827502 )
791 ( 0.299242 , 0.100554 )
792 ( 0.0888427 , 0.0933549 )
793 ( 0.510032 , 0.238162 )
794 ( 0.226865 , 0.9563 )
795 ( 0.485006 , 0.260894 )
796 ( 0.73659 , 0.211781 )
797 ( 0.714184 , 0.610996 )
798 ( 0.70329 , 0.219666 )
799 ( 0.329549 , 0.387649 )
800 ( 0.349784 , 0.360149 )
801 ( 0.499767 , 0.433622 )
802 ( 0.61757 , 0.64082 )
803 ( 0.318433 , 0.875603 )
804 ( 0.326255 , 0.011932 )
805 ( 0.377335 , 0.243269 )
806 ( 0.0498275 , 0.830244 )
807 ( 0.00566343 , 0.882027 )
808 ( 0.241415 , 0.96793 )
809 ( 0.266378 , 0.885153 )
810 ( 0.652 , 0.451825 )
811 ( 0.509796 , 0.301797 )
812 ( 0.578138 , 0.224437 )
813 ( 0.255216 , 0.33476 )
814 ( 0.0913687 , 0.0156569 )
815 ( 0.999788 , 0.0787694 )
816 ( 0.874064 , 0.656273 )
817 ( 0.393495 , 0.433218 )
818 ( 0.982525 , 0.697439 )
819 ( 0.845978 , 0.669915 )
820 ( 0.767691 , 0.672251 )
821 ( 0.430141 , 0.147847 )
822 ( 0.554814 , 0.600404 )
823 ( 0.142351 , 0.572507 )
824 ( 0.296645 , 0.503609 )
825 ( 0.00658498 , 0.971917 )
826 ( 0.939847 , 0.394734 )
827 ( 0.0523348 , 0.401664 )
828 ( 0.702571 , 0.453924 )
829 ( 0.0665228 , 0.828379 )
830 ( 0.517335 , 0.694333 )
831 ( 0.558707 , 0.25475 )
832 ( 0.905355 , 0.476393 )
833 ( 0.170604 , 0.820296 )
834 ( 0.755385 , 0.41307 )
835 ( 0.979115 , 0.323508 )
836 ( 0.730481 , 0.98591 )
837 ( 0.54219 , 0.956453 )
838 ( 0.643565 , 0.372074 )
839 ( 0.125102 , 0.673975 )
840 ( 0.689995 , 0.934083 )
841 ( 0.582875 , 0.856419 )
842 ( 0.180837 , 0.794612 )
843 ( 0.752105 , 0.831284 )
844 ( 0.91793 , 0.858426 )
845 ( 0.732236 , 0.962817 )
846 ( 0.452535 , 0.185124 )
847 ( 0.543079 , 0.826055 )
848 ( 0.231139 , 0.213565 )
849 ( 0.200624 , 0.750664 )
850 ( 0.97977 , 0.939753 )
851 ( 0.808906 , 0.0996107 )
852 ( 0.440876 , 0.735672 )
853 ( 0.825388 , 0.502709 )
854 ( 0.574825 , 0.646913 )
855 ( 0.0391144 , 0.265645 )
856 ( 0.989751 , 0.147859 )
857 ( 0.230849 , 0.0565097 )
858 ( 0.455111 , 0.948106 )
859 ( 0.440439 , 0.385 )
860 ( 0.22363 , 0.767301 )
861 ( 0.598345 , 0.131369 )
862 ( 0.484079 , 0.854189 )
863 ( 0.889449 , 0.195644 )
864 ( 0.884228 , 0.115673 )
865 ( 0.363854 , 0.367327 )
866 ( 0.492956 , 0.474451 )
867 ( 0.36002 , 0.598284 )
868 ( 0.548741 , 0.804912 )
869 ( 0.927456 , 0.0814587 )
870 ( 0.808816 , 0.27555 )
871 ( 0.592062 , 0.492464 )
872 ( 0.488448 , 0.237264 )
873 ( 0.731538 , 0.235319 )
874 ( 0.472734 , 0.935166 )
875 ( 0.0204421 , 0.189775 )
876 ( 0.763623 , 0.657754 )
877 ( 0.67232 , 0.248186 )
878 ( 0.844813 , 0.830827 )
879 ( 0.621888 , 0.0646997 )
880 ( 0.733738 , 0.0408985 )
881 ( 0.911225 , 0.0988937 )
882 ( 0.979851 , 0.0812396 )
883 ( 0.604689 , 0.868345 )
884 ( 0.678666 , 0.405991 )
885 ( 0.852398 , 0.878146 )
886 ( 0.72291 , 0.727308 )
887 ( 0.384096 , 0.555547 )
888 ( 0.0203942 , 0.433065 )
889 ( 0.0567457 , 0.527495 )
890 ( 0.87569 , 0.163551 )
891 ( 0.718786 , 0.895015 )
892 ( 0.956692 , 0.159121 )
893 ( 0.1291 , 0.841977 )
894 ( 0.457428 , 0.202992 )
895 ( 0.556391 , 0.405394 )
896 ( 0.456235 , 0.189483 )
897 ( 0.120164 , 0.794037 )
898 ( 0.257866 , 0.546825 )
899 ( 0.224325 , 0.222027 )
900 ( 0.137822 , 0.430313 )
901 ( 0.886034 , 0.169249 )
902 ( 0.0432418 , 0.370688 )
903 ( 0.871873 , 0.165798 )
904 ( 0.83964 , 0.600597 )
905 ( 0.470781 , 0.410692 )
906 ( 0.95492 , 0.152812 )
907 ( 0.729322 , 0.0262891 )
908 ( 0.448094 , 0.655521 )
909 ( 0.0895155 , 0.526259 )
910 ( 0.0809385 , 0.138419 )
911 ( 0.244992 , 0.523208 )
912 ( 0.961698 , 0.117099 )
913 ( 0.683573 , 0.367632 )
914 ( 0.828901 , 0.157172 )
915 ( 0.228434 , 0.327871 )
916 ( 0.961816 , 0.0220523 )
917 ( 0.0684382 , 0.425989 )
918 ( 0.675796 , 0.346962 )
919 ( 0.428019 , 0.807177 )
920 ( 0.386523 , 0.513779 )
921 ( 0.227965 , 0.384156 )
922 ( 0.791677 , 0.547684 )
923 ( 0.57013 , 0.297156 )
924 ( 0.394391 , 0.121879 )
925 ( 0.524124 , 0.103115 )
926 ( 0.355975 , 0.110677 )
927 ( 0.306025 , 0.653099 )
928 ( 0.161772 , 0.541941 )
929 ( 0.582561 , 0.00898776 )
930 ( 0.618512 , 0.795516 )
931 ( 0.518232 , 0.622697 )
932 ( 0.876162 , 0.579467 )
933 ( 0.234678 , 0.726471 )
934 ( 0.845743 , 0.329756 )
935 ( 0.778009 , 0.834493 )
936 ( 0.0410517 , 0.813002 )
937 ( 0.299881 , 0.98926 )
938 ( 0.996093 , 0.391875 )
939 ( 0.557569 , 0.158534 )
940 ( 0.406972 , 0.721178 )
941 ( 0.948883 , 0.70734 )
942 ( 0.242495 , 0.334505 )
943 ( 0.994628 , 0.00595283 )
944 ( 0.629727 , 0.323226 )
945 ( 0.78311 , 0.287101 )
946 ( 0.422332 , 0.737693 )
947 ( 0.77537 , 0.60046 )
948 ( 0.455244 , 0.278619 )
949 ( 0.0245252 , 0.168894 )
950 ( 0.452619 , 0.298172 )
951 ( 0.919494 , 0.870928 )
952 ( 0.425077 , 0.392302 )
953 ( 0.323659 , 0.910324 )
954 ( 0.934408 , 0.76688 )
955 ( 0.669013 , 0.644538 )
956 ( 0.74924 , 0.0301917 )
957 ( 0.111754 , 0.748558 )
958 ( 0.959256 , 0.386614 )
959 ( 0.0345767 , 0.64721 )
960 ( 0.145637 , 0.657063 )
961 ( 0.934828 , 0.372087 )
962 ( 0.322382 , 0.224339 )
963 ( 0.605501 , 0.309647 )
964 ( 0.200819 , 0.410466 )
965 ( 0.849837 , 0.5326 )
966 ( 0.531512 , 0.309786 )
967 ( 0.34694 , 0.0870292 )
968 ( 0.426532 , 0.452097 )
969 ( 0.282603 , 0.507539 )
970 ( 0.467993 , 0.306151 )
971 ( 0.996888 , 0.275573 )
972 ( 0.842208 , 0.483282 )
973 ( 0.694823 , 0.536733 )
974 ( 0.782432 , 0.610136 )
975 ( 0.335013 , 0.691817 )
976 ( 0.776019 , 0.351217 )
977 ( 0.124661 , 0.0904135 )
978 ( 0.550837 , 0.176884 )
979 ( 0.130656 , 0.749381 )
980 ( 0.170091 , 0.0106292 )
981 ( 0.229628 , 0.87281 )
982 ( 0.608768 , 0.77297 )
983 ( 0.719977 , 0.384681 )
984 ( 0.0719626 , 0.209007 )
985 ( 0.886804 , 0.203952 )
986 ( 0.427181 , 0.59508 )
987 ( 0.833347 , 0.376186 )
988 ( 0.277702 , 0.639672 )
989 ( 0.966812 , 0.0739901 )
990 ( 0.257356 , 0.99173 )
991 ( 0.35377 , 0.144343 )
992 ( 0.668453 , 0.733706 )
993 ( 0.0495159 , 0.988078 )
994 ( 0.274428 , 0.24653 )
995 ( 0.719752 , 0.646092 )
996 ( 0.901199 , 0.493778 )
997 ( 0.197825 , 0.0217535 )
998 ( 0.337296 , 0.588039 )
999 ( 0.994315 , 0.319647 )
